Latin Paragraph	English Paragraph (Manual)
2. Dixit quidam:Quoties inter homines fui, minor homo redii.Hoc sæpius experimur, quando diu confabulamur. Facilius est enim tacere quam in verbo non excedere. Facilius est domi latere quam foris se posse sufficienter custodire. Qui igitur intendit ad interiora et spiritualia pervenire, oportet eum cum Jesu a turba declinare. Nemo secure apparet nisi qui libenter latet. Nemo secure præcipit nisi qui obedire didicit. Nemo secure gaudet nisi qui testimonium bonæ conscienitæ habet.	2. One hath said, “As oft as I have gone among men, so oft have I returned less a man.” This is what we often experience when we have been long time in conversation. For it is easier to be altogether silent than it is not to exceed in word. It is easier to remain hidden at home than to keep sufficient guard upon thyself out of doors. He, therefore, that seeketh to reach that which is hidden and spiritual, must go with Jesus “apart from the multitude.” No man safely goeth abroad who loveth not to rest at home. No man safely talketh but he who loveth to hold his peace. No man safely ruleth but he who loveth to be subject. No man safely commandeth but he who loveth to obey.
3. Semper tamen Sanctorum securitas plena timoris Dei extitit. Nec eo minus solliciti et humiles in se fuerunt, quia magnis virtutibus et gratia emicuerunt. Pravorum autem securitas ex superbia et præsumptione oritur et in fine in desperationem sui vertitur. Nunquam promittas tibi securitatem in hac vita, quamvis bonus videaris Coenobita, aut bonus Eremita.	3. No man safely rejoiceth but he who hath the testimony of a good conscience within himself. The boldness of the Saints was always full of the fear of God. Nor were they the less earnest and humble in themselves, because they shone forth with great virtues and grace. But the boldness of wicked men springeth from pride and presumption, and at the last turneth to their own confusion. Never promise thyself security in this life, howsoever good a monk or devout a solitary thou seemest.
4. Sæpe meliores in existimatione hominum magis periclitati sunt propter nimiam suam confidentiam. Unde multum utilius est, ut non penitus tentationibus careant, sed sæpius impugnentur ne nimium securi sint, ne forte in superbiam eleventur, ne etiam ad exteriores consolationes licentius declinent. O, qui nunquam transitoriam lætitiam quæreret, qui nunquam cum mundo se occuparet, quam bonam conscientiam servaret. O, qui omnem vanam sollicitudinem amputaret, et duntaxat salutaria ac divina cogitaret, et totam spem suam in Domino constitueret, quam magnam pacem et quietem possideret.	4. Often those who stand highest in the esteem of men, fall the more grievously because of their over great confidence. Wherefore it is very profitable unto many that they should not be without inward temptation, but should be frequently assaulted, lest they be over confident, lest they be indeed lifted up into pride, or else lean too freely upon the consolations of the world. O how good a conscience should that man keep, who never sought a joy that passeth away, who never became entangled with the world! O how great peace and quiet should he possess, who would cast off all vain care, and think only of healthful and divine things, and build his whole hope upon God! 
5. Nemo dignus est cælesti consolatione, nisi diligenter se exercuerit in sancta compunctione. Si vis corde tenus compungi, intra cubiculum tuum, et exclude tumultus mundi. Sicut scriptum est,In cubilibus vestris compungimini.In cella invenies, quod de foris sæpius amittes. Cella continuata dulcescit et male custodita tædium generat. Si in principio conversationis tuæ bene eam incolueris, et custodieris, erit postea tibi amica dilecta, et gratissimum solatium.	5. No man is worthy of heavenly consolation but he who hath diligently exercised himself in holy compunction. If thou wilt feel compunction within thy heart, enter into thy chamber and shut out the tumults of the world, as it is written, Commune with your own heart in your own chamber and be still.In retirement thou shalt find what often thou wilt lose abroad. Retirement, if thou continue therein, groweth sweet, but if thou keep not in it, begetteth weariness. If in the beginning of thy conversation thou dwell in it and keep it well, it shall afterwards be to thee a dear friend, and a most pleasant solace.
6. In silentio et quiete proficit anima devota, et discit abscondita Scripturarum. Ibi invenit fluenta lacrymarum, quibus singulis noctibus se lavet et mundet, ut Conditori suo tanto familiarior fiat, quanto longius ab omni sæculari tumultu degit. Qui ergo se substrahit a notis et amicis, approximabit illi Deus cum Angelis sanctis. Melius est latere et sui curam agere, quam se neglecto signa facere. Laudabile est homini religioso raro foras ire, fugere videri et nolle homines videre.	6. In silence and quiet the devout soul goeth forward and learneth the hidden things of the Scriptures. Therein findeth she a fountain of tears, wherein to wash and cleanse herself each night, that she may grow the more dear to her Maker as she dwelleth the further from all worldly distraction. To him who withdraweth himself from his acquaintance and friends God with his holy angels will draw nigh. It is better to be unknown and take heed to oneself than to neglect oneself and work wonders. It is praiseworthy for a religious man to go seldom abroad, to fly from being seen, to have no desire to see men.
7. Quid vis videre, quod non licet habere?Transit mundus, et concupiscentia ejus.Trahunt desideria sensualitatis ad spatiandum. Sed cum hora transierit, quid nisi gravitatem conscientiæ, et cordis dispersionem portat? Lætus exitus tristem sæpe reditum parit et læta vigilia serotina triste mane facit. Sic omne carnale gaudium blande intrat, sed in fine mordet et perimit.	7. Why wouldest thou see what thou mayest not have? The world passeth away and the lust thereof. The desires of sensuality draw thee abroad, but when an hour is past, what dost thou bring home, but a weight upon thy conscience and distraction of heart? A merry going forth bringeth often a sorrowful return, and a merry evening maketh a sad morning? So doth all carnal joy begin pleasantly, but in the end it gnaweth away and destroyeth. What canst thou see abroad which thou seest not at home? Behold the heaven and the earth and the elements, for out of these are all things made.
8. Quid potes videre alicubi, quod die potest sub solem permanere. Credis te forsitan satiari, sed non poteris pertingere. Si cuncta videres præsentia, quid esset, nisi visio vana? Leva oculos tuos ad Deum in excelsis, et ora pro peccatis tuis, et negligentiis. Dimitte vana vanis, tu autem intende illis, quæ tibi præcepit Deus. Claude super te ostium tuum, et voca ad te Jesum dilectum tuum. Mane cum eo in cella, quia non invenies alibi tantam pacem. Si non exisses nec quidquam de rumoribus audisses, melius in bona pace permansisses. Ex quo nova delectaris aliquando audire, oportet te exinde turbationem cordis tolerare.	8. What canst thou see anywhere which can continue long under the sun? Thou believest perchance that thou shalt be satisfied, but thou wilt never be able to attain unto this. If thou shouldest see all things before thee at once, what would it be but a vain vision? Lift up thine eyes to God on high, and pray that thy sins and negligences may be forgiven. Leave vain things to vain men, and mind thou the things which God hath commanded thee. Shut thy door upon thee, and call unto thyself Jesus thy beloved. Remain with Him in thy chamber, for thou shalt not elsewhere find so great peace. If thou hadst not gone forth nor listened to vain talk, thou hadst better kept thyself in good peace. But because it sometimes delighteth thee to hear new things, thou must therefore suffer trouble of heart.
Cap. 21. De compunctione cordis.	CHAPTER XXI Of compunction of heart
1. Si vis aliquid proficere, conserva te in timore Dei et noli esse nimis liber. Sed sub disciplina cohibe omnes sensus tuos, nec ineptæ te tradas lætitiæ, da te ad cordis compunctionem, et invenies devotionem; compunctio multa bona aperit, quæ dissolutio cito perdere consuevit. Mirum est, quod homo possit unquam perfecte lætari in hac vita, qui suum exilium, et tam multa pericula animæ suæ considerat, et pensat.	1. If thou wilt make any progress keep thyself in the fear of God, and long not to be too free, but restrain all thy senses under discipline and give not thyself up to senseless mirth. Give thyself to compunction of heart and thou shalt find devotion. Compunction openeth the way for many good things, which dissoluteness is wont quickly to lose. It is wonderful that any man can ever rejoice heartily in this life who considereth and weigheth his banishment, and the manifold dangers which beset his soul.
2. Propter levitatem cordis et negligentiam defectuum nosrorum non senstimus animæ nostræ dolores, sed sæpe vane reddimus verba, quandomerito flere deberemus. Non est vera libertas, nec bona conscientia, nisi in timore Dei. Felix qui abjicere potest omne impedimentum distractionis, et ad unionem se redigere sanctæ compunctionis. Felix qui a se abdicat quidquid suam conscientiam maculare potest, vel gravare. Certa viriliter. Consuetudo consuetudine vincitur. Si tu scis homies dimittere, ipsi bene dimittent te, tua facta facere.	2. Through lightness of heart and neglect of our shortcomings we feel not the sorrows of our soul, but often vainly laugh when we have good cause to weep. There is no true liberty nor real joy, save in the fear of God with a good conscience. Happy is he who can cast away every cause of distraction and bring himself to the one purpose of holy compunction. Happy is he who putteth away from him whatsoever may stain or burden his conscience. Strive manfully; custom is overcome by custom. If thou knowest how to let men alone, they will gladly let thee alone to do thine own works.
3. Non attrahas tibi res aliorum, nec te implices causis majorum. Habeas semper oculum super te primum, et admoneas te ipsum specialiter, præ omnibus tibi dilectis. Si non habes favorem hominum noli exinde tristari, sed hoc tibi sit grave quia non habes te satis bene et circumspecte, sicut deceret servum Dei et devotum Religiosum conversari. Utilius est sæpe et securius, quod homo non habeat multas consolationes in hac vita secudum carnem, præcipue tamen, quod divinas non habemus, aut rarius sentimus nos devotos; in culpa sumus, quia compunctionem non quærimus cordis, ac vanas et extrinsecas non abjicimus.	3. Busy not thyself with the affairs of others, nor entangle thyself with the business of great men. Keep always thine eye upon thyself first of all, and give advice to thyself specially before all thy dearest friends. If thou hast not the favour of men, be not thereby cast down, but let thy concern be that thou holdest not thyself so well and circumspectly, as becometh a servant of God and a devout monk. It is often better and safer for a man not to have many comforts in this life, especially those which concern the flesh. But that we lack divine comforts or feel them rarely is to our own blame, because we seek not compunction of heart, nor utterly cast away those comforts which are vain and worldly.
4. Cognosce te indignum divina consolatione, sed magis dignum multa tribulatione. Quando homo perfecte est compunctus, tunc gravis et amarus est ei totus mundus. Bonus homo sufficientem invenit materiam dolendi et flendi: sive enim considerat se, sive de proximo pensat; scit quia nemo sine tribulatione hic vivit; et quanto strictius sese considerat, tanto amplius dolet. Materiæ justi doloris, et internæ compunctionis sunt peccata, et vitia nostra, quibus ita involuti jacemus, ut raro cælistia contemplari valeamus.	4. Know thyself to be unworthy of divine consolation, and worthy rather of much tribulation. When a man hath perfect compunction, then all the world is burdensome and bitter to him. A good man will find sufficient cause for mourning and weeping; for whether he considereth himself, or pondereth concerning his neighbour, he knoweth that no man liveth here without tribulation, and the more thoroughly he considereth himself, the more thoroughly he grieveth. Grounds for just grief and inward compunction there are in our sins and vices, wherein we lie so entangled that we are but seldom able to contemplate heavenly things.
5. Si frequentius de morte tua, quam de longitudine vitæ tua cogitares, non dubium, quin ferventius te emendares. Si etiam futuras Inferni, sivi Pergatorii, poenas cordialiter perpenderes, credo quod libenter dolorem et laborem sustineres, et nihil rigoris formidares. Sed quia ista ad cor non transeunt, et blandimenta adhuc amamus, ideo frigidi et valde pigri remanemus. Sæpe est inopia spiritus unde tam leviter conqueritur corpus miserum. Ora igitur humiliter ad Dominum ut det tibi compunctionis spiritum; et dic cum Propheta,Ciba me Domine pane lacrymarum et potum da mihi in lacrymis in mensura.	5. If thou thoughtest upon thy death more often than how long thy life should be, thou wouldest doubtless strive more earnestly to improve. And if thou didst seriously consider the future pains of hell, I believe thou wouldest willingly endure toil or pain and fear not discipline. But because these things reach not the heart, and we still love pleasant things, therefore we remain cold and miserably indifferent.
Cap. 22. De conditione humanæ miseriæ.	CHAPTER XXII On the contemplation of human misery
1. Miser es ubicumque fueris, et quocumque te verteris, nisi ad Deum te convertas. Quid turbaris quia non succedit tibi sicut vis et desideras? Quis est qui habeat omnia secundum suam voluntatem? Nec ego, nec tu, nec aliquis hominum super terram. Nemo est in mundo sine aliqua tribulatione, vel angustia, quivis Rex, vel Papa. Quis est, qui melius habet? Utique qui pro Deo aliquid pati valet.	1. Thou art miserable wheresoever thou art, and whithersoever thou turnest, unless thou turn thee to God. Why art thou disquieted because it happeneth not to thee according to thy wishes and desires? Who is he that hath everything according to his will? Neither I, nor thou, nor any man upon the earth. There is no man in the world free from trouble or anguish, though he were King or Pope. Who is he who hath the happiest lot? Even he who is strong to suffer somewhat for God.
2. Dicunt multi imbecilles et infirmi, Ecce quam bonam vitam ille homo habet, quam dives et quam magnus, quam potens et excelsus. Sed attende ad cælestia bona, et videbis quod omnia ista temporalia nulla sunt, sed magis incerta, et valde gravantia, quia nunquam sine solicitudine, et timore possidentur. Non est hominis felicitas habere temporalia ad abundantiam, et sufficit ei mediocritas. Vere miseria est vivere super terram. Quanto homo voluerit esse spiritualior, tanto præfens vita sit ei amarior, quia sentit melius, videt clarius humanæ corruptionis affectus. Nam comedere, bibere, vigilare, dormire, quiescere laborare et cæteris necessitatibus naturæ subjacere vere magna miseria est, et afflictio homini devoto, qui libenter esset absolutus et liber ab omni peccato.	2. There are many foolish and unstable men who say, “See what a prosperous life that man hath, how rich and how great he is, how powerful, how exalted.” But lift up thine eyes to the good things of heaven, and thou shalt see that all these worldly things are nothing, they are utterly uncertain, yea, they are wearisome, because they are never possessed without care and fear. The happiness of man lieth not in the abundance of temporal things but a moderate portion sufficeth him. Our life upon the earth is verily wretchedness. The more a man desireth to be spiritual, the more bitter doth the present life become to him; because he the better understandeth and seeth the defects of human corruption. For to eat, to drink, to watch, to sleep, to rest, to labour, and to be subject to the other necessities of nature, is truly a great wretchedness and affliction to a devout man, who would fain be released and free from all sin.
3. Valde enim gravatur interior homo necessitatibus ocrporalibus in hoc mundo. Unde Propheta devote rogat quatenus ab istis liber esse valeat, dicens,De necessitatibus meis erue me, Domine.Sed væ non cognoscentibus suam miseriam et corruptibilem vitam. Nam in tantum quidam hanc amplectuntur, licet etiam vix necessaria laborando aut mendicando habeant, ut si possent hic semper vivere, de regno Dei nihil curarent.	3. For the inner man is heavily burdened with the necessities of the body in this world. Wherefore the prophet devoutly prayeth to be freed from them, saying, Deliver me from my necessities, O Lord.(1) But woe to those who know not their own misery, and yet greater woe to those who love this miserable and corruptible life. For to such a degree do some cling to it (even though by labouring or begging they scarce procure what is necessary for subsistence) that if they might live here always, they would care nothing for the Kingdom of God.
4. O insani, et infideles corde, qui tam profunde in terris jacent, ut nihil nisi carnalia sapiant. Sed miseri adhuc in fine sentient graviter, quam vile, et nihilum erat, quod amaverunt. Sancti autem Dei, et omnes devoti amici Christi non attenderunt, quæ carni placuerunt, nec quæ in hoc tempore floruerunt. Sed tota spes eorum, et intentio ad ætena bona anhelabat. Ferebatur totum desiderium eorum ad mansura et invisibilia, ne amore visibilium traherentur ad infima.	4. Oh foolish and faithless of heart, who lie buried so deep in worldly things, that they relish nothing save the things of the flesh! Miserable ones! they will too sadly find out at the last, how vile and worthless was that which they loved. The saints of God and all loyal friends of Christ held as nothing the things which pleased the flesh, or those which flourished in this life, but their whole hope and affection aspired to the things which are above. Their whole desire was borne upwards to everlasting and invisible things, lest they should be drawn downwards by the love of things visible.
5. Noli frater amittere confidentiam proficiendi ad spiritualia. Adhuc enim habes tempus et horam, quare vis procrastinare propositum tuum? Surge, et in instanti incipe, et dic: Nunc est tempus faciendi, nunc tempus pugnandi est, nunc tempus aptum est emendandi. Quando male habes et tribularis, tunc tempus promerendi. Oportet te transire per ignem et aquam, antequam venia ad refrigerium, nisi tibi vim feceris, vitium non superabis. Quamdiu istud fragile corpus gerimus, sine peccato esse non possumus nec sine tædio et dolore vivere. Libenter haberemus ab omni miseria quietem, sed quia per peccatum perdidimus innocentiam, amisimus etiam veram beatitudinem. Ideo oportet nos tenere patientiam, et Dei exspectare misericordiam,donec transeat iniquitashæc, et mortalitas abforbeatur a vita.	5. Lose not, brother, thy loyal desire of progress to things spiritual. There is yet time, the hour is not past. Why wilt thou put off thy resolution? Arise, begin this very moment, and say, “Now is the time to do: now is the time to fight, now is the proper time for amendment.” When thou art ill at ease and troubled, then is the time when thou art nearest unto blessing. Thou must go through fire and water that God may bring thee into a wealthy place. Unless thou put force upon thyself, thou wilt not conquer thy faults. So long as we carry about with us this frail body, we cannot be without sin, we cannot live without weariness and trouble. Gladly would we have rest from all misery; but because through sin we have lost innocence, we have lost also the true happiness. Therefore must we be patient, and wait for the mercy of God, until this tyranny be overpast, and this mortality be swallowed up of life.
6. O quanta fragilitas humana, quæ semper prona est ad vitia. Hodie confiteris peccata tua, et cras iterum perpetras confessa. Nunc proponis cavere, et post horam ita agis, quasi nihil proposuisses. Merito ergo nosmetipsos humiliare possumus, nec unquam aliquid magni de nobis sentire, quia tam fragiles et instabiles sumus. Cito etiam potest perdi per negligentiam, quod multo labore vix tandem acquisitum est per gratiam.	6. O how great is the frailty of man, which is ever prone to evil! To-day thou confessest thy sins, and to-morrow thou committest again the sins thou didst confess. Now dost thou resolve to avoid a fault, and within an hour thou behavest thyself as if thou hadst never resolved at all. Good cause have we therefore to humble ourselves, and never to think highly of ourselves, seeing that we are so frail and unstable. And quickly may that be lost by our negligence, which by much labour was hardly attained through grace.
7. Quid fiet de nobis adhuc in fine, qui tepescimus tam mane. Væ nobis si sic volumus declinare ad quietem, quasi jam pax sit et securitas, cum necdum appareat vestigium sanctitatis veræ in nostra conversatione. Bene opus esset quod adhuc institueremus, tanquam boni novitii, ad mores optimos, si forte spes esset de futurea emendatione, et majori spirituali profectu.	7. What shall become of us at the end, if at the beginning we are lukewarm and idle? Woe unto us, if we choose to rest, as though it were a time of peace and security, while as yet no sign appeareth in our life of true holiness. Rather had we need that we might begin yet afresh, like good novices, to be instructed unto good living, if haply there might be hope of some future amendment and greater spiritual increase.
Cap. 23. De meditatione mortis.	CHAPTER XXIII Of meditation upon death
1. Valde cito erit tecum hoc factum: vide aliter quomodo te habeas. Hodie homo est, et cras non comparet. Cum autem sublatus fuerit ab oculis, etiam cito transit a mente. O hebetudo, et duritia cordis humani, quod solum præsentia meditatur, et futura non magis prævidet. Sic te in omni facto et cogitatu deberes tenere, quasi statim esses moriturus. Si bonam conscientiam haberes, non multum mortem timeres. Melius esset peccata cavere quam mortem fugure. Si hodie non es paratus, quomodo cras eris? Cras est dies incerta, et quid scis si crastinum habebis?	1. Very quickly will there be an end of thee here; take heed therefore how it will be with thee in another world. To-day man is, and to-morrow he will be seen no more. And being removed out of sight, quickly also he is out of mind. O the dulness and hardness of man’s heart, which thinketh only of the present, and looketh not forward to the future. Thou oughtest in every deed and thought so to order thyself, as if thou wert to die this day. If thou hadst a good conscience thou wouldst not greatly fear death. It were better for thee to watch against sin, than to fly from death. If to-day thou art not ready, how shalt thou be ready to-morrow? To-morrow is an uncertain day; and how knowest thou that thou shalt have a to-morrow?
2. Quid prodest diu vivere, quando parum emendamur? Ha, longa vita non semper emendat, sed sæpe culpam magis auget. Utinam per unam diem bene essemus conversati in hoc mundo. Multi annos computant conversionis, sed sæpe parvus est fructus emendationis. Si formidolosum est mori, forsitan periculosius erit vivere diu. Beatus qui horam mortis suæ semper ante oculos habet, et ad moriendum quotidie se disponit. Si vidisti aliquem mori, cogita quia tu per eandem viam transibis.	2. What doth it profit to live long, when we amend so little? Ah! long life doth not always amend, but often the more increaseth guilt. Oh that we might spend a single day in this world as it ought to be spent! Many there are who reckon the years since they were converted, and yet oftentimes how little is the fruit thereof. If it is a fearful thing to die, it may be perchance a yet more fearful thing to live long. Happy is the man who hath the hour of his death always before his eyes, and daily prepareth himself to die. If thou hast ever seen one die, consider that thou also shalt pass away by the same road.
3. Cum mane fuerit, puta te ad vesperum non perventurum. Vespere autem facto, mane non audeas tibi polliceri. Semper ergo paratus esto, et taliter vive, ut nunquam imparatum te mors inveniant. Multi subito improvisi moriuntur. Namhora, qua non putatur, Filius hominis veniet.Quando hora illa extrema venerit, multum aliter sentire incipies de tota vita tua præterita et valde dolebis, quia tam negligens, et remissus fuisti.	3. When it is morning reflect that it may be thou shalt not see the evening, and at eventide dare not to boast thyself of the morrow. Always be thou prepared, and so live that death may never find thee unprepared. Many die suddenly and unexpectedly. For at such an hour as ye think not, the Son of Man cometh. When that last hour shall come, thou wilt begin to think very differently of thy whole life past, and wilt mourn bitterly that thou hast been so negligent and slothful.
4. Quam felix et prudens qui talis nunc nititur esse in vita, qualis optat inveniri in morte. Dabit namque magnam fiduciam moriendi perfectus contemptus mundi, fervens desiderium in virtutibus proficiendi, amor disciplinæ, labor poenitentiæ, promptitudo, obedientiæ, abnegatio sui, et supportatio cujuslibet adversitatis pro amore Christi. Multa bona potes operari dum sanus es, sed infirmatus nescio quid poteris. Pauci ex infirmitate emendantur; sic et qui multum peregrinantur, raro sanctificantur.	4. Happy and wise is he who now striveth to be such in life as he would fain be found in death! For a perfect contempt of the world, a fervent desire to excel in virtue, the love of discipline, the painfulness of repentance, readiness to obey, denial of self, submission to any adversity for love of Christ; these are the things which shall give great confidence of a happy death. Whilst thou art in health thou hast many opportunities of good works; but when thou art in sickness I know not how much thou wilt be able to do. Few are made better by infirmity: even as they who wander much abroad seldom become holy.
5. Noli confidere super amicos et proximos, nec in futuris salutem tuam differas, quia citius obliviscentur tui homines, quam existimas. Melius est nunc tempestive providere et aliquid boni præmittere, quam super aliorum auxilio sperare. Si non es pro te ipso sollicitus modo, quis erit sollicitus pro te in futuro. Nunc tempus est valde prætiosum, sed proh dolor, quod hoc inutilius expendis, in quo promereri vales, unde æternaliter vivas. Veniet quando unam diem seu horam pro emendatione desiderabis, et nescio, an impetrabis.	5. Trust not thy friends and kinsfolk, nor put off the work of thy salvation to the future, for men will forget thee sooner than thou thinkest. It is better for thee now to provide in time, and to send some good before thee, than to trust to the help of others. If thou art not anxious for thyself now, who, thinkest thou, will be anxious for thee afterwards? Now the time is most precious. Now is the accepted time, now is the day of salvation. But alas! that thou spendest not well this time, wherein thou mightest lay up treasure which should profit thee everlastingly. The hour will come when thou shalt desire one day, yea, one hour, for amendment of life, and I know not whether thou shalt obtain.
6. Eia, charissime, de quanto periculo te poteris liberare, de quam magno timore eripere, si modo semper timoratus fueris, et de morte suspectus! Stude nunc taliter vivere, ut in hora moris valeas potius gaudere, quam timere. Disce nunc mori mundo, ut tunc incipias vivere cum Christo. Disce nunc omnia contemnere, ut tunc possis libere ad Christum pergere. Castiga nunc corpus tuum per poenitentiam, ut tunc valeas certam habere confidentiam.	6. Oh, dearly beloved, from what danger thou mightest free thyself, from what great fear, if only thou wouldst always live in fear, and in expectation of death! Strive now to live in such wise that in the hour of death thou mayest rather rejoice than fear. Learn now to die to the world, so shalt thou begin to live with Christ. Learn now to contemn all earthly things, and then mayest thou freely go unto Christ. Keep under thy body by penitence, and then shalt thou be able to have a sure confidence.
7. Ha stulte, quid cogitas te diu victurum, cum nullum diem habeas securum? Quam multi decepti sunt et insperati de corpore extracti! Quoties audisti a dicentibus, quia ille gladio cecidit, ille submersus est, ille ab alto ruens cervicem fregit, ille manducando obriguit, ille ludendo finem fecit, alius igne, alius ferro, alius peste, alius latrocinio interiit: et sic omnium finis mors est, et vita hominum tanquam umbra cito pertransit.	7. Ah, foolish one! why thinkest thou that thou shalt live long, when thou art not sure of a single day? How many have been deceived, and suddenly have been snatched away from the body! How many times hast thou heard how one was slain by the sword, another was drowned, another falling from on high broke his neck, another died at the table, another whilst at play! One died by fire, another by the sword, another by the pestilence, another by the robber. Thus cometh death to all, and the life of men swiftly passeth away like a shadow.
8. Quis memorabitur tui post mortem, et qui orabit pro te? Age, age nunc charissime quidquid pro te agere potes, quia nescis quando morieris. Nescis etiam, quid tibi post mortem sequatur. Dum tempus habes, congrega divitias immortales. Præter salutem tuam nihil cogites. Solum quæ Dei sunt, cures.Fac nunc tibi amicosvenerando Sanctos, et actus imitando,ut cum defeceris in hac vita, illi te recipiant in æterna tabernacula.	8. Who will remember thee after thy death? And who will entreat for thee? Work, work now, oh dearly beloved, work all that thou canst. For thou knowest not when thou shalt die, nor what shall happen unto thee after death. While thou hast time, lay up for thyself undying riches. Think of nought but of thy salvation; care only for the things of God. Make to thyself friends, by venerating the saints of God and walking in their steps, that when thou failest, thou mayest be received into everlasting habitations.
9. Serva te tanquam peregrinum et hospitem super terram, ad quem nihil spectat de mundi negociis. Serva cor liberum, et ad Deum sursum erectum, quia non habes hic manentem civitatem. Illuc gemitus et preces quotidianas cum lacrymis dirige, ut spiritus tuus mereatur post mortem ad Dominum feliciter transire.	9. Keep thyself as a stranger and a pilgrim upon the earth, to whom the things of the world appertain not. Keep thine heart free, and lifted up towards God, for here have we no continuing city. To Him direct thy daily prayers with crying and tears, that thy spirit may be found worthy to pass happily after death unto its Lord. 
Cap. 24. De judicio et poenis peccatorum.	CHAPTER XXIV Of the judgment and punishment of the wicked
1. In omnibus rebus respice finem, et qualiter ante districtum judicem stabis, cui nihil est occultum, qui muneribus non placatur, nec escusationes recipit, sed quod justum est, judicabit. O miserrime et insipiens, quid respondebis Deo, omniamala tua scienti, qui interdum times vultum hominis irati? Ut quid non prævides tibi in judicii die? Quando nemo poterit per alium excusari vel defendi, sed unusquisque sufficiens onus suum portabit sisi ipsi. Nunc labor tuus est fructuosus, fletus acceptabilies, gemitus exaudibilis, dolor satisfactorius et purgativus.	1. In all that thou doest, remember the end, and how thou wilt stand before a strict judge, from whom nothing is hid, who is not bribed with gifts, nor accepteth excuses, but will judge righteous judgment. O most miserable and foolish sinner, who art sometimes in fear of the countenance of an angry man, what wilt thou answer to God, who knoweth all thy misdeeds? Why dost thou not provide for thyself against the day of judgment, when no man shall be able to be excused or defended by means of another, but each one shall bear his burden himself alone? Now doth thy labour bring forth fruit, now is thy weeping acceptable, thy groaning heard, thy sorrow well pleasing to God, and cleansing to thy soul.
2. Habet magnum et salubre purgatorium homo patiens, qui suscipiens injurias, plus dolet de alterius malitia, quam de sua injuria, qui pro contrariantibus sibi libenter orat, et ex corde culpas indulget; qui veniam ab aliis petere non retardat, qui facilius miseretur quam irascitur, qui sibi ipsi violentiam frequenter facit, et carnem suam omnino spiritui subjugare conatur. Melius est modo purgare peccata, et vitia resecare, quam in futuro purganda reservare. Vere nos ipsos decipimus per inordinatum amorem, quem ad carnem habemus.	2. Even here on earth the patient man findeth great occasion of purifying his soul. When suffering injuries he grieveth more for the other’s malice than for his own wrong; when he prayeth heartily for those that despitefully use him, and forgiveth them from his heart; when he is not slow to ask pardon from others; when he is swifter to pity than to anger; when he frequently denieth himself and striveth altogether to subdue the flesh to the spirit. Better is it now to purify the soul from sin, than to cling to sins from which we must be purged hereafter. Truly we deceive ourselves by the inordinate love which we bear towards the flesh.
3. Quid aliud ille ignis devorat, nisi peccata tua? Quanto amplius nunc tibi ipsi parcis, et carnem sequeris, postea lues tanto durius, et majorem materiam comburendi reservas. In quibus homo peccavit, in illis gravius punietur. Ibi acidiosi ardentibus stimulis purgentur, et gulosi ingenti fame ac siti cruciabuntur. Ibi luxuriosi et voluptatum amatores ardenti pice et foetido sulphure perfundentur. Et sicut furiosi canes, præ dolore invidiosi ululabunt.	3. What is it which that fire shall devour, save thy sins? The more thou sparest thyself and followest the flesh, the more heavy shall thy punishment be, and the more fuel art thou heaping up for the burning. For wherein a man hath sinned, therein shall he be the more heavily punished. There shall the slothful be pricked forward with burning goads, and the gluttons be tormented with intolerable hunger and thirst. There shall the luxurious and the lovers of pleasure be plunged into burning pitch and stinking brimstone, and the envious shall howl like mad dogs for very grief.
4. Nullum vitium erit, quod suum proprium cruciatum non habeat. Ibi superbi omni confusione replebuntur, et avari miserrima egestate arctabuntur.  Ibi erit una hora gravior in poena, quam hic centum anni in amarissima poenitentia. Ibi nulla requies, nulla consolatio damnatis. Hic tamen interdum cessatur a laboribus atque amicorum fruitur solatiis. Esto modo sollicitus, et dolens pro peccatis tuis, ut in die judicii sis securus propetenus cum beatis.Tuncenimjusti stabunt in magna constantia adversus eos, qui se angustiaveruntet depresserunt. Tunc stabit ad judicandum qui modo se subjicit humiliter judiciis hominum. Tunc magnam fiduciam pauper et humlis habebit, et pavebit undique superbus.	4. No sin will there be which shall not be visited with its own proper punishment. The proud shall be filled with utter confusion, and the covetous shall be pinched with miserable poverty. An hour’s pain there shall be more grievous than a hundred years here of the bitterest penitence. No quiet shall be there, no comfort for the lost, though here sometimes there is respite from pain, and enjoyment of the solace of friends. Be thou anxious now and sorrowful for thy sins, that in the day of judgment thou mayest have boldness with the blessed. For then shall the righteous man stand in great boldness before the face of such as have afflicted him and made no account of his labours. Then shall he stand up to judge, he who now submitteth himself in humility to the judgments of men. Then shall the poor and humble man have great confidence, while the proud is taken with fear on every side.
