Liber PrimusAdmonitiones ad Vitam spiritualem utiles.	THE FIRST BOOK ADMONITIONS PROFITABLE FOR THE SPIRITUAL LIFE
8. Quis memorabitur tui post mortem, et qui orabit pro te? Age, age nunc charissime quidquid pro te agere potes, quia nescis quando morieris. Nescis etiam, quid tibi post mortem sequatur. Dum tempus habes, congrega divitias immortales. Præter salutem tuam nihil cogites. Solum quæ Dei sunt, cures.Fac nunc tibi amicosvenerando Sanctos, et actus imitando,ut cum defeceris in hac vita, illi te recipiant in æterna tabernacula.	8. Who will remember thee after thy death? And who will entreat for thee? Work, work now, oh dearly beloved, work all that thou canst. For thou knowest not when thou shalt die, nor what shall happen unto thee after death. While thou hast time, lay up for thyself undying riches. Think of nought but of thy salvation; care only for the things of God. Make to thyself friends, by venerating the saints of God and walking in their steps, that when thou failest, thou mayest be received into everlasting habitations.
9. Serva te tanquam peregrinum et hospitem super terram, ad quem nihil spectat de mundi negociis. Serva cor liberum, et ad Deum sursum erectum, quia non habes hic manentem civitatem. Illuc gemitus et preces quotidianas cum lacrymis dirige, ut spiritus tuus mereatur post mortem ad Dominum feliciter transire.	9. Keep thyself as a stranger and a pilgrim upon the earth, to whom the things of the world appertain not. Keep thine heart free, and lifted up towards God, for here have we no continuing city. To Him direct thy daily prayers with crying and tears, that thy spirit may be found worthy to pass happily after death unto its Lord. 
Cap. 24. De judicio et poenis peccatorum.	CHAPTER XXIV Of the judgment and punishment of the wicked
1. In omnibus rebus respice finem, et qualiter ante districtum judicem stabis, cui nihil est occultum, qui muneribus non placatur, nec escusationes recipit, sed quod justum est, judicabit. O miserrime et insipiens, quid respondebis Deo, omniamala tua scienti, qui interdum times vultum hominis irati? Ut quid non prævides tibi in judicii die? Quando nemo poterit per alium excusari vel defendi, sed unusquisque sufficiens onus suum portabit sisi ipsi. Nunc labor tuus est fructuosus, fletus acceptabilies, gemitus exaudibilis, dolor satisfactorius et purgativus.	1. In all that thou doest, remember the end, and how thou wilt stand before a strict judge, from whom nothing is hid, who is not bribed with gifts, nor accepteth excuses, but will judge righteous judgment. O most miserable and foolish sinner, who art sometimes in fear of the countenance of an angry man, what wilt thou answer to God, who knoweth all thy misdeeds? Why dost thou not provide for thyself against the day of judgment, when no man shall be able to be excused or defended by means of another, but each one shall bear his burden himself alone? Now doth thy labour bring forth fruit, now is thy weeping acceptable, thy groaning heard, thy sorrow well pleasing to God, and cleansing to thy soul.
2. Habet magnum et salubre purgatorium homo patiens, qui suscipiens injurias, plus dolet de alterius malitia, quam de sua injuria, qui pro contrariantibus sibi libenter orat, et ex corde culpas indulget; qui veniam ab aliis petere non retardat, qui facilius miseretur quam irascitur, qui sibi ipsi violentiam frequenter facit, et carnem suam omnino spiritui subjugare conatur. Melius est modo purgare peccata, et vitia resecare, quam in futuro purganda reservare. Vere nos ipsos decipimus per inordinatum amorem, quem ad carnem habemus.	2. Even here on earth the patient man findeth great occasion of purifying his soul. When suffering injuries he grieveth more for the other’s malice than for his own wrong; when he prayeth heartily for those that despitefully use him, and forgiveth them from his heart; when he is not slow to ask pardon from others; when he is swifter to pity than to anger; when he frequently denieth himself and striveth altogether to subdue the flesh to the spirit. Better is it now to purify the soul from sin, than to cling to sins from which we must be purged hereafter. Truly we deceive ourselves by the inordinate love which we bear towards the flesh.
3. Quid aliud ille ignis devorat, nisi peccata tua? Quanto amplius nunc tibi ipsi parcis, et carnem sequeris, postea lues tanto durius, et majorem materiam comburendi reservas. In quibus homo peccavit, in illis gravius punietur. Ibi acidiosi ardentibus stimulis purgentur, et gulosi ingenti fame ac siti cruciabuntur. Ibi luxuriosi et voluptatum amatores ardenti pice et foetido sulphure perfundentur. Et sicut furiosi canes, præ dolore invidiosi ululabunt.	3. What is it which that fire shall devour, save thy sins? The more thou sparest thyself and followest the flesh, the more heavy shall thy punishment be, and the more fuel art thou heaping up for the burning. For wherein a man hath sinned, therein shall he be the more heavily punished. There shall the slothful be pricked forward with burning goads, and the gluttons be tormented with intolerable hunger and thirst. There shall the luxurious and the lovers of pleasure be plunged into burning pitch and stinking brimstone, and the envious shall howl like mad dogs for very grief.
4. Nullum vitium erit, quod suum proprium cruciatum non habeat. Ibi superbi omni confusione replebuntur, et avari miserrima egestate arctabuntur.  Ibi erit una hora gravior in poena, quam hic centum anni in amarissima poenitentia. Ibi nulla requies, nulla consolatio damnatis. Hic tamen interdum cessatur a laboribus atque amicorum fruitur solatiis. Esto modo sollicitus, et dolens pro peccatis tuis, ut in die judicii sis securus propetenus cum beatis.Tuncenimjusti stabunt in magna constantia adversus eos, qui se angustiaveruntet depresserunt. Tunc stabit ad judicandum qui modo se subjicit humiliter judiciis hominum. Tunc magnam fiduciam pauper et humlis habebit, et pavebit undique superbus.	4. No sin will there be which shall not be visited with its own proper punishment. The proud shall be filled with utter confusion, and the covetous shall be pinched with miserable poverty. An hour’s pain there shall be more grievous than a hundred years here of the bitterest penitence. No quiet shall be there, no comfort for the lost, though here sometimes there is respite from pain, and enjoyment of the solace of friends. Be thou anxious now and sorrowful for thy sins, that in the day of judgment thou mayest have boldness with the blessed. For then shall the righteous man stand in great boldness before the face of such as have afflicted him and made no account of his labours. Then shall he stand up to judge, he who now submitteth himself in humility to the judgments of men. Then shall the poor and humble man have great confidence, while the proud is taken with fear on every side.
5. Tunc videbitur sapiens in hoc mundo fuisse, qui pro Christo didicit stultus esse et despectus. Tunc placebit omnis tribulatio patienter perpessaet omnis iniquitas oppilabit os suum.Tunc gaudebit omnis devotus et merebit omnis religiosus. Tunc plus exultabit caro afflicta, quam si semper in deliciis fuisset nutrita. Tunc splendebit habitus vilis, et obtenebrescet vestis subtilis. Tunc plus laudabitur pauperculum domicilium, quam deauratum palatium. Tunc plus juvabit constans pacientia, quam omnis mundi potentia. Tunc amplius exaltabitur simplex obedientia, quam omnis sæcularis astutia.	5. Then shall it be seen that he was the wise man in this world who learned to be a fool and despised for Christ. Then shall all tribulation patiently borne delight us, while the mouth of the ungodly shall be stopped. Then shall every godly man rejoice, and every profane man shall mourn. Then the afflicted flesh shall more rejoice than if it had been alway nourished in delights. Then the humble garment shall put on beauty, and the precious robe shall hide itself as vile. Then the little poor cottage shall be more commended than the gilded palace. Then enduring patience shall have more might than all the power of the world. Then simple obedience shall be more highly exalted than all worldly wisdom.
6. Tunc plus lætificabit pura et simplex conscientia et bona quam docta philosophia. Tunc plus ponderabit contemptus divitiarum, quam totus thesaurus terrigenarum. Tunc magis consolaberis super devota oratione, quam super delicata comestione. Tunc potius gaudebis de fervato silentio, quam de longa fabulatione. Tunc plus valebunt sancta sancta opera, quam multa pulchra verba. Tunc  plus valebit stricta vita et ardus poenitntia, quam omnis delectatio terrena. Disce nunc in modico pati, ut tunc a gravioribus valeas liberari. Hic primo proba quid possis pati postea. Si nunc tam parum non vales sustinere, quomodo poteris æterna tormenta sufferre? Si modo modica passio te tam impatientem efficit, tunc gehenna quid facietur? Ecce vere non potes modo duo gaudia habere, delectari hic in mundo, es postea regnare cum Christo.	6. Then a pure and good conscience shall more rejoice than learned philosophy. Then contempt of riches shall have more weight than all the treasure of the children of this world. Then shalt thou find more comfort in having prayed devoutly than in having fared sumptuously. Then thou wilt rather rejoice in having kept silence than in having made long speech. Then holy deeds shall be far stronger than many fine words. Then a strict life and sincere penitence shall bring deeper pleasure than all earthly delight. Learn now to suffer a little, that then thou mayest be enabled to escape heavier sufferings. Prove first here, what thou art able to endure hereafter. If now thou art able to bear so little, how wilt thou be able to endure eternal torments? If now a little suffering maketh thee so impatient, what shall hell-fire do then? Behold of a surety thou art not able to have two Paradises, to take thy fill or delight here in this world, and to reign with Christ hereafter.
7. Si usque in hodiernum diem semper in honoribus et voluptatibus vixisses, quid totum tibi profuisset, si jam in instanti mori contingeret? Omnia ergo vanitas, præter amare Deum, et illi foli servire. Qui enim Deum ex toto corde amat, nec mortem, nec supplicium, nec judcium, nec infernum metuit, quia perfectus amor securum ad Deum accessum facit. Quem adhuc peccare delectat, non mirum, si mortem, judicium timeat. Bonum tamen est ut, si necdum amor a malo te revocat, saltem timor gehenæ te coerceat. Qui vero timorem Dei postponit, diu stare in bono non valebit, sed diaboli laqueos citius incurret.	7. If even unto this day thou hadst ever lived in honours and pleasures, what would the whole profit thee if now death came to thee in an instant? All therefore is vanity, save to love God and to serve Him only. For he who loveth God with all his heart feareth not death, nor punishment, nor judgment, nor hell, because perfect love giveth sure access to God. But he who still delighteth in sin, no marvel if he is afraid of death and judgment. Nevertheless it is a good thing, if love as yet cannot restrain thee from evil, that at least the fear of hell should hold thee back. But he who putteth aside the fear of God cannot long continue in good, but shall quickly fall into the snares of the devil.
Cap. 25. De ferventi emendatione totius vitæ.	CHAPTER XXV Of the zealous amendment of our whole life
1. Esto vigilans et diligens in Dei fervitio, et cogita frequenter ad quid venisti, et cur sæculum reliquisti. Nonne ut Deo viveres, et spiritualis fieres? Igitur ad profectum ferveas, quia mercedem laborum tuorum in brevi recipies. Nec erit tunc amplius timor aut dolor in finibus tuis. Modicum nunc laborabis, et magnam requiem, imo perpetuam lætitiam, invenies. Si tu permanseris fidelis et fervidus in agendo, Deus procul dubio erit fidelis, et locuples in retribuendo. Spem bonam retinere debes, quod ad palmam pervenies, sed securitatem capere non oportet ne torpeas, aut elatus fias.	1. Be thou watchful and diligent in God’s service, and bethink thee often why thou hast renounced the world. Was it not that thou mightest live to God and become a spiritual man? Be zealous, therefore, for thy spiritual profit, for thou shalt receive shortly the reward of thy labours, and neither fear nor sorrow shall come any more into thy borders. Now shalt thou labour a little, and thou shalt find great rest, yea everlasting joy. If thou shalt remain faithful and zealous in labour, doubt not that God shall be faithful and bountiful in rewarding thee. It is thy duty to have a good hope that thou wilt attain the victory, but thou must not fall into security lest thou become slothful or lifted up.
2. Cum enim quidam anxius inter metum et spem frequenter fluctuaret, et quadam vice moerore confectus in ecclesia ante quoddam altare se in oratione prostravisset, hæc intra se resolvit dicens: O, si scirem, quod adhuc perserveratus essem; statimque audivit divinum intus responsum. Quid, si hoc scires, quid facere velles? Fac nunc quod facere velles, et bene securus eris. Moxque consolatus et confortatus divinæ se commisit voluntati, et cessavit anxia fluctuatio. Noluitque curiose se investigare, ut sciret quæ sibi essent futura, sed magis studuit inquirere quæ esset voluntas Dei beneplacens et perfecta ad omne opus inchoandum et perficiendum.	2. A certain man being in anxiety of mind, continually tossed about between hope and fear, and being on a certain day overwhelmed with grief, cast himself down in prayer before the altar in a church, and meditated within himself, saying, “Oh! if I but knew that I should still persevere,” and presently heard within him a voice from God, “And if thou didst know it, what wouldst thou do? Do now what thou wouldst do then, and thou shalt be very secure.” And straightway being comforted and strengthened, he committed himself to the will of God and the perturbation of spirit ceased, neither had he a mind any more to search curiously to know what should befall him hereafter, but studied rather to inquire what was the good and acceptable will of God, for the beginning and perfecting of every good work.
3.Spera in Domino et fac bonitatem,ait Propheta,et inhabita terram, et pasceris in divitiis ejus.Unum est quod multos a profectu et ferventi emendatione retrahit: horror difficultatis seu labor certaminis. Illi maxime præ aliis in virtutibus proficiunt, qui ea quæ sibi magis gravia et contraria sunt vincere nituntur. Nam ibi homo plus proficit, et gratiam meretur ampliorem, ubi magis se ipsum vincit, et in spiritu mortificat.	3. Hope in the Lord and be doing good, saith the Prophet; dwell in the land and thou shalt be fed with its riches. One thing there is which holdeth back many from progress and fervent amendment, even the dread of difficulty, or the labour of the conflict. Nevertheless they advance above all others in virtue who strive manfully to conquer those things which are most grievous and contrary to them, for there a man profiteth most and meriteth greater grace where he most overcometh himself and mortifieth himself in spirit.
4. Sed non omnes habent æque multum ad vincendum et moriendum. Diligens autem æmulator valentior erit ad proficiendum, etiamsi plures habeat passiones, quam alius bene morigeratus, minus tamen fervens ad virtutes. Duo specialiter ad magnam emendationem juvant, videlicet subtrahere se violenter ad quod natura vitiose inclinatur, et ferventer instare pro bono, quo amplius quis indiget. Illa etiam magis studeas cavere et vincere quæ tibi in aliis frequentius displicent.	4. But all men have not the same passions to conquer and to mortify, yet he who is diligent shall attain more profit, although he have stronger passions, than another who is more temperate of disposition, but is withal less fervent in the pursuit of virtue. Two things specially avail unto improvement in holiness, namely firmness to withdraw ourselves from the sin to which by nature we are most inclined, and earnest zeal for that good in which we are most lacking. And strive also very earnestly to guard against and subdue those faults which displease thee most frequently in others.
5. Ubique profectum tuum capies ut si bona exempla videas vel audias, de imitandis accendaris. Si quid autem reprehensibile confideraveris, cave ne idem facias, aut si aliquando fecisti, citius emendare te studeas. Sicut oculus tuus alios confiderat, sic iterum ab aliis notaris. Quam jucundum et dulce est videre fervidos et devotos Fratres bene morigeratos et disciiplinatos. Quam triste est et grave videre inordinate ambulantes, qui ea ad quæ vocati sunt non exercent. Quam nocivum est negligere vocationis suæ propositum, et ad non comissia sensum inclinare.	5. Gather some profit to thy soul wherever thou art, and wherever thou seest or hearest good examples, stir thyself to follow them, but where thou seest anything which is blameworthy, take heed that thou do not the same; or if at any time thou hast done it, strive quickly to amend thyself. As thine eye observeth others, so again are the eyes of others upon thee. How sweet and pleasant is it to see zealous and godly brethren temperate and of good discipline; and how sad is it and grievous to see them walking disorderly, not practising the duties to which they are called. How hurtful a thing it is to neglect the purpose of their calling, and turn their inclinations to things which are none of their business.
6. Memor esto arrepti propositi, et imaginem crucifixi tibi propone. Bene verecundari potes inspecta vita Jesu Christi, quia necdum magis illi te conformare studuisti, licet diu in via Dei fuisti. Religiosus qui se intente et devote in sanctissima vita et passione Domini exercet, omnia utilia et necessaria sibi abundanter ibi inveniet. Nec opus est ut extra Jesum aliquid melius quærat. O, si Jesus crucifixus in cor nostrum veniret, quam cito et sufficienter docti essemus. Religiosus fervidus bene omnia portat et capit, quæ illi jubentur.	6. Be mindful of the duties which thou hast undertaken, and set always before thee the remembrance of the Crucified. Truly oughtest thou to be ashamed as thou lookest upon the life of Jesus Christ, because thou hast not yet endeavoured to conform thyself more unto Him, though thou hast been a long time in the way of God. A religious man who exercises himself seriously and devoutly in the most holy life and passion of our Lord shall find there abundantly all things that are profitable and necessary for him, neither is there need that he shall seek anything better beyond Jesus. Oh! if Jesus crucified would come into our hearts, how quickly, and completely should we have learned all that we need to know!
7. Religiosus negligens et tepidus habet tribulationem super tribulationem et ex omni parte patitur angustiam, quia interiori consolatione caret, et exteriorem quærere prohibetur. Religiosus extra disciplinam vivens gravi patet ruinæ. Qui laxiora quærit et remissiora, semper in angustiis erit, quia unum aut reliquum displicebit sibi.	7. He who is earnest receiveth and beareth well all things that are laid upon him. He who is careless and lukewarm hath trouble upon trouble, and suffereth anguish upon every side, because he is without inward consolation, and is forbidden to seek that which is outward. He who is living without discipline is exposed to grievous ruin. He who seeketh easier and lighter discipline shall always be in distress, because one thing or another will give him displeasure.
8. Quomodo faciunt tam multi alii Religiosi qui satis arctati sunt sub disciplina claustrali, rare execunt, abstracte vivunt, pauperrime comedunt, grosse vestiuntur, multum laborant, parum loquuntur, diu vigilant, mature surgunt, et orationes prolongant, frequenter legunt et se in omni disciplina custodiunt. Attende Cartusienses et Benedictinos, et Cistercienses ac diversæ religionis Monachos et Moniales qualiter omni nocte ad psallendum Deo surgunt. Et ideo turpe esset, ut tu debeas in tam sancto opere dormitare et pigritare, ubi tanta multitudo Religiosorum incipit Deo jubilare.	8. How do so many others, Religious men, live—who are strictly confined under monastic discipline, seldom go forth, dwell apart, eat in utmost poverty, clothe themselves coarsely, labour much, speak little, keep long vigils, rise early, prolong their prayers, read frequently, and keep themselves under strict rule in all things? Consider the Carthusians, the Benedictines, the Cistercians, and monks and nuns of many orders, how they rise each night to sing praises unto God. And shall it not be a shame unto thee to sleep and grow slothful in so holy a work, while such a multitude of Religious lift up their voices to rejoice in God?
9. O, si nihil aliud faciendum incumberet, nisi Dominum Deum nostrum tot corde et ore laudare. O, si nunquam indigeres comedere, nec bibere, nec dormire, sed semper posses Deum laudare, et solummodo spiritualibus studiis vacare, tunc multo felicior esses, quam modo carni ex qualicumque necessitate serviens. Utinam non essent istæ necessitates, sed solummodo spirituales animæ refectiones, quas heu satis raro degustamus.	9. O! if no other duty lay upon us but to praise the Lord our God with our whole heart and voice! Oh! if thou never hadst need to eat or drink, or sleep, but wert always able to praise God, and to give thyself to spiritual exercises alone; then shouldst thou be far happier than now, when for so many necessities thou must serve the flesh. O! that these necessities were not, but only the spiritual refreshments of the soul, which alas we taste too seldom.
10. Quando homo ad hoc pervenit, quod de nulla creatura consolationem quærit, tunc ei Deus primo perfecte sapere incipit, tunc etiam bene contentus de omni eventu rerum erit, tunc nec pro magno lætabitur, nec pro modico contristabitur, sed ponit se integre, et fiducialiter in Deo, qui est ei omnia in omnibus, cui nihil utique parit, nec moritur, sed omnia ei vivunt, et ad nutum incunctanter deserviunt.	10. When a man hath come to this, that he seeketh comfort from no created thing, then doth he perfectly begin to enjoy God, then also will he be well contented with whatsoever shall happen unto him. Then will he neither rejoice for much nor be sorrowful for little, but he committeth himself altogether and with full trust unto God, who is all in all to him, to whom nothing perisheth nor dieth, but all things live to Him and obey His every word without delay. 
11. Memento semper finis, et quia perditum non redit tempus, sine sollicitudine, et diligentia nunquam acquires virtutes. Si incipis tepescere, incipis male habere. Si autem dederis te ad fervorem, invenies magnam pacem, et senties leviorem laborem propter Dei gratiam et virtutis amorem. Homo fervidus et diligens ad omnia est paratus. Major labor est resistere vitiis et passionibus, quam corporalibus insudare laboribus. Qui parvos non devitat defectus, paulatim labitur ad majora. Gaudebis semper de vespere, si diem expendes fructuose. Vigila semper te ipsum et quidquid de aliis sit non negligas te ipsum. Tantum proficies, quantum tibi ipsi vim intuleris. Amen.	11. Remember always thine end, and how the time which is lost returneth not. Without care and diligence thou shalt never get virtue. If thou beginnest to grow cold, it shall begin to go ill with thee, but if thou givest thyself unto zeal thou shalt find much peace, and shalt find thy labour the lighter because of the grace of God and the love of virtue. A zealous and diligent man is ready for all things. It is greater labour to resist sins and passions than to toil in bodily labours. He who shunneth not small faults falleth little by little into greater. At eventide thou shalt always be glad if thou spend the day profitably. Watch over thyself, stir thyself up, admonish thyself, and howsoever it be with others, neglect not thyself. The more violence thou dost unto thyself, the more thou shall profit. Amen.
THOMAS À KEMPIS: DE IMITATIONE CHRISTI LIBER SECUNDUS	
Liber SecundusAdmonitiones ad interna trahentes.	THE SECOND BOOK ADMONITIONS CONCERNING THE INNER LIFE
Cap. I.  Incipit liber de interna conversationes.	CHAPTER I Of the inward life
1.Regnum Dei intra vos est,dicit Dominus. Converte te ex toto corde tuo ad Dominum, et relinque hunc miserum mundum, et inveniet anima tua requiem. Disce exteriora contemnere et ad interiora te dare, et videbis regnum Dei intra te venire.Est enim regnum Dei pax et gaudium in Spiritu Sanctoquod non datur impiis. Veniet ad te Christus ostendens tibi consolatinem suam, si dignam illi ab intus paraveris mansionem. Omnis gloria ejus et decor ab intra est, et ibi complacet sibi. Frequens illi visitatio cum homine interno, dulcis sermocinatio, grata consolatio, multa pax, familiaritas stupenda nimis.	1. The kingdom of God is within you, saith the Lord. Turn thee with all thine heart to the Lord and forsake this miserable world, and thou shalt find rest unto thy soul. Learn to despise outward things and to give thyself to things inward, and thou shalt see the kingdom of God come within thee. For the kingdom of God is peace and joy in the Holy Ghost, and it is not given to the wicked. Christ will come to thee, and show thee His consolation, if thou prepare a worthy mansion for Him within thee. All His glory and beauty is from within, and there it pleaseth Him to dwell. He often visiteth the inward man and holdeth with him sweet discourse, giving him soothing consolation, much peace, friendship exceeding wonderful.
2. Eya anima fidelis, præpara huic sponso cor tuum, quatenus ad te venire et in te habitare dignetur. Sic enim dicit:Si quis diligit me, sermonem meum servabit, et ad eum veniemus, et mansionem apud eum faciemus.Da ergo Christo locum et cæteris omnibus nega introitum. Cum Christum habueris, dives es, et sufficit tibi. Ipse erit provisor tuus, et fidelis procurator in omnibus, ut non fit opus in hominibus sparare. Homines enim cito mutantur, et deficiunt velociter, Christus autem manet in æternum, et adstat usque in finem firmiter.	2. Go to, faithful soul, prepare thy heart for this bridegroom that he may vouchsafe to come to thee and dwell within thee, for so He saith, if any man loveth me he will keep my words: and my Father will love him, and we will come unto him and make our abode with him. Give, therefore, place to Christ and refuse entrance to all others. When thou hast Christ, thou art rich, and hast sufficient. He shall be thy provider and faithful watchman in all things, so that thou hast no need to trust in men, for men soon change and swiftly pass away, but Christ remaineth for ever and standeth by us firmly even to the end.
3. Non est magna fiducia ponenda in homine fragili et mortali, etiamsi utilis fit et dilectus, neque tristitia multa capienda ex hoc, si interdum adversetur et contradicat. Qui hodie tecum sunt, cras contrariari possunt. Et e converso sæpe ut aura vertuntur. Pone fiduciam tuam totam in Domino; et sit ipse timor tuus, et amor tuus. Ipse pro te respondebit, et faciet bene sicut melius fuerit. Nonhabes hic manentem civitatem, et ubicumque fueris, extraneus es et peregrinus, nec requiem aliquando habebis, nisi Christo intime fueris unitus.	3. There is no great trust to be placed in a frail and mortal man, even though he be useful and dear to us, neither should much sorrow arise within us if sometimes he oppose and contradict us. They who are on thy side to-day, may to-morrow be against thee, and often are they turned round like the wind. Put thy whole trust in God and let Him be thy fear and thy love, He will answer for thee Himself, and will do for thee what is best. Here hast thou no continuing city, and wheresoever thou art, thou art a stranger and a pilgrim, and thou shalt never have rest unless thou art closely united to Christ within thee.
4. Quid hic circumspicis, cum iste non sit locus tuæ requietonis? In cælestibus debet esse habitatio tua et sicut in transitu cuncta sunt aspicienda. Transeunt omnia, et tu cum eis pariter. Vide, ut non hæreas, ne capiaris, et pereas. Apud Altissimum sit cogitatio tua, et deprecatio tua ad Christum sine intermissione dirigatur. Si nescis alta speculari et cælestia, requiesce in passione Christi, et in sacris vulneribus ejus libenter habita. Si enim ad vulnera et speciosa stigmata Jesu devote confugis, magnam in tribulatione senties consolationem, nec multum curabis hominum despectiones faciliterque verba detrahentium perferes.	4. Why dost thou cast thine eyes hither and thither, since this is not the place of thy rest? In heaven ought thy habitation to be, and all earthly things should be looked upon as it were in the passing by. All things pass away and thou equally with them. Look that thou cleave not to them lest thou be taken with them and perish. Let thy contemplation be on the Most High, and let thy supplication be directed unto Christ without ceasing. If thou canst not behold high and heavenly things, rest thou in the passion of Christ and dwell willingly in His sacred wounds. For if thou devoutly fly to the wounds of Jesus, and the precious marks of the nails and the spear, thou shalt find great comfort in tribulation, nor will the slights of men trouble thee much, and thou wilt easily bear their unkind words.
5. Jesus Christus Dominus fuit etiam in mundo ab hominibus despectus, et in maxima necessitate, a notis et amicis inter opprobria derelictus. Dominus Jesus pati voluit et despici, et tu audes de aliquo conqueri? Christus habuit adversarios et oblocutores, et tu vis omnes habere amicos, et benefactores? Ubi coronabitur patentia tua, si nihil adversitatis occurrit. Si nihil contrarium vis pati, quomodo eris amicus Christi? Sustine cum Christo et pro Christo, si vis regare cum Christo.	5. Christ also, when He was in the world, was despised and rejected of men, and in His greatest necessity was left by His acquaintance and friends to bear these reproaches. Christ was willing to suffer and be despised, and darest thou complain of any? Christ had adversaries and gainsayers, and dost thou wish to have all men thy friends and benefactors? Whence shall thy patience attain her crown if no adversity befall thee? If thou art unwilling to suffer any adversity, how shalt thou be the friend of Christ? Sustain thyself with Christ and for Christ if thou wilt reign with Christ.
6. Si semel perfecte introisses in interiora Jesu, et modicum de ardenti amore ejus sapuisses, tunc de proprio commodo, vel incommodo nihil curares, sed magis de opprobrio illato gauderes, quia amor Jesu facit hominem se ipsum contemnere. Amator Jesu et verus internus, et liber ab affectionibus inordinatis, potest se ad Deum libere convertere, et elevare se supra se ipsum in spiritu ac fruitive quiescere.	6. If thou hadst once entered into the mind of Jesus, and hadst tasted yea even a little of his tender love, then wouldst thou care nought for thine own convenience or inconvenience, but wouldst rather rejoice at trouble brought upon thee, because the love of Jesus maketh a man to despise himself. He who loveth Jesus, and is inwardly true and free from inordinate affections, is able to turn himself readily unto God, and to rise above himself in spirit, and to enjoy fruitful peace.
7. Cui sapiunt omnia prout sunt non ut dicuntur, aut æstimantur, hic vere sapiens est, et doctus a Deo magis, quam ab hominibus. Qui ab intra scit ambulare et modicum res ab extra ponderare, non reqirit loca, nec tempora expectat ad habenda devota exercitia. Homo internus cito se recolligit, et nunquam se totum ad exteriora effundit. Non illi obest labor exterior, aut occupatio ad tempus necessaria. Sed sicut res eveniunt, sic se illis accommodat. Qui intus bene dispositus est et ordinatus, non curat mirabiles et perversos hominum gestus. Tantum homo impeditur, et distrahitur, quantum sibi res attrahit.	7. He who knoweth things as they are and not as they are said or seem to be, he truly is wise, and is taught of God more than of men. He who knoweth how to walk from within, and to set little value upon outward things, requireth not places nor waiteth for seasons, for holding his intercourse with God. The inward man quickly recollecteth himself, because he is never entirely given up to outward things. No outward labour and no necessary occupations stand in his way, but as events fall out, so doth he fit himself to them. He who is rightly disposed and ordered within careth not for the strange and perverse conduct of men. A man is hindered and distracted in so far as he is moved by outward things.
8. Si recte tibi esses, et bene purgatus esses, omnia tibi in bonum cederent, et profectum. Ideo multa tibi sæpe displicent et sæpe conturbant, quia adhuc non es perfecte tibi mortuus, nec segregatus ab omnibus terrenis. Nihil sic maculat et implicat cor hominis, sicut impurus amor in creaturis. Si renuis consolari exterius, poteris speculari cælestia, et frequenter interius jubilare.	8. If it were well with thee, and thou wert purified from evil, all things would work together for thy good and profiting. For this cause do many things displease thee and often trouble thee, that thou art not yet perfectly dead to thyself nor separated from all earthly things. Nothing so defileth and entangleth the heart of man as impure love towards created things. If thou rejectest outward comfort thou wilt be able to contemplate heavenly things and frequently to be joyful inwardly.
Cap. 2. De submissione, Prælati regimine.	CHAPTER II Of lowly submission
1. Non magni pendas qui pro te vel contra te fit, sed hoc age, et cura, ut Deus tecum sit in omni re quam facis. Habeas conscientiam bonam, et Deus bene te defensabit. Quem enim adjuvare voluerit, nullius perversitas nocere poterit. Si tu sci tacere et pati, videbis proculdubio auxilium Domini. Ipse novit tempus, et modum liberandi te, et idea debes te illi resignare. Dei est adjuvare, et ab omni confusione liberare. sæpe valde prodest ad majorem humilitatem conservandam, quod defectus nostros alii sciunt, et redarguunt.	1. Make no great account who is for thee or against thee, but mind only the present duty and take care that God be with thee in whatsoever thou doest. Have a good conscience and God will defend thee, for he whom God will help no man’s perverseness shall be able to hurt. If thou knowest how to hold thy peace and to suffer, without doubt thou shalt see the help of the Lord. He knoweth the time and the way to deliver thee, therefore must thou resign thyself to Him. To God it belongeth to help and to deliver from all confusion. Oftentimes it is very profitable for keeping us in greater humility, that others know and rebuke our faults.
2. Quando pro defectibus suis se humiliat, tunc faciliter alios placat, et leviter satisfacit sibi irascentibus. Humilem Deus protegit, et liberat. Humilem diligit, et consolatur. Humili homini se inclinat. Humili largitur gratiam plenam et magnam. Et post suam depressionem levat ad gloriam. Humili sua secreta revelat, et ad se dulciter trahit, et invitat. Humilis accepta contumelia et confusione satis bene est in pace, quia stat in Deo, et non in mundo. Non reputes te aliquid profecisse, nisi omnibus te inferiorem esse sentias.	2. When a man humbleth himself for his defects, he then easily pacifieth others and quickly satisfieth those that are angered against him. God protecteth and delivereth the humble man, He loveth and comforteth the humble man, to the humble man He inclineth Himself, on the humble He bestoweth great grace, and when he is cast down He raiseth him to glory: to the humble He revealeth His secrets, and sweetly draweth and inviteth him to Himself. The humble man having received reproach, is yet in sufficient peace, because he resteth on God and not on the world. Reckon not thyself to have profited in anywise unless thou feel thyself to be inferior to all.
Cap. 3. De bono pacifico homine.	HAPTER III Of the good, peaceable man
