Liber Quartus: De Sacramento Altaris.	THE FOURTH BOOK: ON THE SACRAMENT OF THE ALTAR
1. Dulcissime Domine Jesu, quanta est dulcedo devotæ animæ tecum epulantis in convivio tuo. Ubi ei non alius cibus manducandus proponitur nisi tu unicus dilectus ejus, super omnia desideria cordis desiderabilies. Et mihi quidem dulce foret in præsentia tua ex intimo affectu lacrymas fundere, et cum pia Magdalena pedes tuos lacrymis irrigare. Sed ubi est hæc devotio? Ubi lacrymarum sanctarum copiosa effusio? Certe in conspectu tuo et sanctorum Angelorum tuorum cor meum ardere deberet et ex gaudio flere. Habeo enim te in Sacramento vere præsentem, quamvis aliena specie occultatum.	1. O most sweet Lord Jesus, how great is the blessedness of the devout soul that feedeth with Thee in Thy banquet, where there is set before it no other food than Thyself its only Beloved, more to be desired than all the desires of the heart? And to me it would verily be sweet to pour forth my tears in Thy presence from the very bottom of my heart, and with the pious Magdalene to water Thy feet with my tears. But where is this devotion? Where the abundant flowing of holy tears? Surely in Thy presence and in the presence of the holy Angels my whole heart ought to burn and to weep for joy; for I have Thee in the Sacrament verily present, although hidden under other form.
2. Nam in propria et divina claritate te conspicere oculi mei ferre non possunt, sed neque totus mundus in fulgore gloriæ majestatis tuæ subsisteret. In hoc ergo meæ imbecillitati consulis, quod te sub Sacramento abscondis. Habeo vere et adoro, quem Angeli adorant in cælo; sed ego interim adhuc in fide, illi autem in specie et sine velamine. Me oportet contentum esse in lumine veræ fidei, et in ea ambulare,donec aspiret diesæternæ claritatis,et umbræfiguraruminclinentur. Cum autem venerit, quod perfectum est,cessabit usus Sacramentorum, quia Beati in gloria cælesti non egent medicamine sacramentali. Gaudent enim sine fine in præsentia Dei, facie ad faciem gloriam ejus speculantes, et de claritate in claritatem abyssi Deitatis transformati, gustant verbum Dei, carnem factum; sicut fuit ab initio et manet in æternum.	2. For in Thine own Divine brightness, mine eyes could not endure to behold Thee, neither could the whole world stand before the splendour of the glory of Thy Majesty. In this therefore Thou hast consideration unto my weakness, that Thou hidest Thyself under the Sacrament. I verily possess and adore Him whom the Angels adore in heaven; I yet for a while by faith, but they by sight and without a veil. It is good for me to be content with the light of true faith, and to walk therein until the day of eternal brightness dawn, and the shadows of figures flee away. But when that which is perfect is come, the using of Sacraments shall cease, because the Blessed in heavenly glory have no need of Sacramental remedy. For they rejoice unceasingly in the presence of God, beholding His glory face to face, and being changed from glory to glory  of the infinite God, they taste the Word of God made flesh, as He was in the beginning and remaineth for everlasting.
3. Memor horum mirabilium, grave mihi sit tædium, etiam vel quodlibet spirituale solatium, et quamdiu Dominum meum aperte in sua gloria non video, pro nihilo duco, omne quod in mundo conspicio et audio. Testis es, mi Deus, quod nulla potest me res consolari, nulla creatura quietare, nisi tu, Deus meus, quem desidero æternaliter contemplari. Sed non est hoc possibile durante me in hac mortalitate: et ideo oportet ut me ponam ad magnam patientiam, et meipsum in omni desiderio tibi submittam. Nam et Sancti tui, Domine, qui tecum jam in regno cælorum exultant in fide et patientia magna, dum viverent, adventum gloriæ tuæ expectabant. Quod illi crediderunt, ego credo; quod illi speraverunt, ego spero; quo illi pervenerunt, per gratiam tuam me venturum confido. Ambulabo interim in fide, exemplis confortatus Sanctorum. Habebo etiam libros sanctos pro solatio et vitæ speculo, atque super hæc omnia sacratissimum Corpus tuum pro singulari remedio et refrigerio.	3. When I think on these wondrous things, even spiritual comfort whatsoever it be becometh sore weariness to me; for so long as I see not openly my Lord in His own Glory, I count for nothing all which I behold and hear in the world. Thou, O God, art my witness that nothing is able to comfort me, no creature is able to give me rest, save Thou, O my God, whom I desire to contemplate everlastingly. But this is not possible, so long as I remain in this mortal state. Therefore ought I to set myself unto great patience, and submit myself unto Thee in every desire. For even Thy Saints, O Lord, who now rejoice with Thee in the kingdom of heaven, waited for the coming of Thy glory whilst they lived here, in faith and great glory. What they believed, that believe I; what they hoped, I hope; whither they have attained to, thither through Thy grace hope I to come. I will walk meanwhile in faith, strengthened by the examples of the Saints. I will have also holy books for comfort and for a mirror of life, and above them all Thy most holy Body and Blood shall be for me a special remedy and refuge.
4. Duo namque mihi necessaria permaxime sentio in hac vita, sine quibus mihi importabilis foret ista miserabilis vitia. In carcere corporis hujus detentus egere duobus fateor, cibo scilicet, et lumine. Dedisti itaque mihi infirmo sacrum Corpus tuum ad refectionem mentis et corporis, et posuistilucernam pedibus meis verbum tuum. Sine his duobus bene vivere non possem: nam verbum Dei lux est animæ, et Sacramentum tuum panis vitæ. Hæc possunt etiam dici mensæ duæ, hinc et inde in Gazophylacio sanctæ Ecclesiæ positæ. Una mensa est sacri altaris, habens panem sanctum, idest Corpus Christi prætiosum. Altera est divinæ legis continens doctrinam sanctam, erudiens fidem rectam, et firmiter usque ad interiora velaminis, ubi sunt sancta sanctorum, perducens.	4. For two things do I feel to be exceedingly necessary to me in this life, without which this miserable life would be intolerable to me; being detained in the prison of this body, I confess that I need two things, even food and light. Thou hast therefore given to me who am so weak, Thy sacred Body and Blood, for the refreshing of my soul and body, and hast set Thy Word for a lantern to my feet . Without these two I could not properly live; for the Word of God is the light of my soul, and Thy Sacrament the bread of life. These may also be called the two tables, placed on this side and on that, in the treasury of Thy holy Church. One table is that of the Sacred Altar, bearing the holy bread, that is the precious Body and Blood of Christ; the other is the table of the Divine Law, containing holy doctrine, teaching the true faith, and leading steadfastly onwards even to that which is within the veil, where the Holy of Holies is.
5. Gratias tibi, bone Jesu, lux lucis æternæ, pro doctrinæ sacræ mensa, quam nobis, per servos tuos Prophetas, et Apostolos aliosque Doctores ministrasti. Gratias tibi, Salvator et Creator hominum, qui ad declarandam toti mundo charitatem tuam cœ nam parasti magnam, in qua non agnum typicum, sed tuum Corpus sanctissimum, et Sanguinem proposuisti ad manducandum: læ tificans omnes fideles convivio sacro, et calice inebrians salutari, in quo sunt omnes deliciæ  Paradisi; et epulantur nobiscum Angeli sancti, sed suavitate feliciori.	5. Thanks be unto Thee, O Lord Jesus, Light of Light everlasting, for that table of holy doctrine which Thou has furnished unto us by Thy servants the Prophets and Apostles and other teachers. Thanks be to Thee, O Creator and Redeemer of men, who to make known Thy love to the whole world has prepared a great supper, in which Thou hast set forth for good not the typical lamb, but Thine own most Holy Body and Blood; making all Thy faithful ones joyful with this holy banquet and giving them to drink the cup of salvation, wherein are all the delights of Paradise, and the holy Angels do feed with us, and with yet happier sweetness.
6. O quam mangum et honorabile est officium Sacerdotum, quibus datum est Dominum majestatis verbis sacris consecrare, labiis benedicere, manibus tenere, ore proprio sumere, et cæ teris ministrare. O, quam mundæ  debent esse manus illæ , quam purum os, quam sanctum corpus, quam immaculatum cor Sacerdotis, ad quem toties ingreditur Auctor puritatis. Ex ore Sacerdotis non nisi sanctum, nisi honestum et utile procedere debet verbum qui tam sæ pe Christi accipit Sacramentum.	6. Oh how great and honourable is the office of the priests, to whom it is given to consecrate the Sacrament of the Lord of majesty with holy words, to bless it with the lips, to hold it in their hands, to receive it with their own mouth, and to administer it to others! Oh how clean ought those hands to be, how pure the mouth, how holy the body, how unspotted the heart of the priest, to whom so often the Author of purity entereth in! From the mouth of the priest ought naught to proceed but what is holy, what is honest and profitable, because he so often receiveth the Sacrament of Christ.
7. Oculi ejus simplices et pudici, qui Christi Corpus solent intueri. Manus puræ  et in cæ lum elevatæ , quæ  Creatorem cæ li, et terræ  solent contractare. Sacerdotibus specialiter in Lege dicitur: Sancti estote, quoniam ego sanctus sum, Dominus Deus vester.	7. His eyes ought to be single and pure, seeing they are wont to look upon the Body of Christ; the hands should be pure and lifted towards heaven, which are wont to hold within them the Creator of heaven and earth. To priests is it specially said in the Law, Be ye holy, for I the Lord your God am holy.
8. Adjuvet nos gratia tua omnipotens Deus, ut qui officium sacerdotale suscepimus, digne ac devote tibi omni puritate et conscientia bona famulari valeamus. Et si non possumus in tanta innocentia vitæ  conversari ut debemus, concede nobis tamen digne flere mala quæ  gessimus, ut in spiritu humilitatis ac bonæ  voluntatis proposito tibi ferventius de cætero deservire valeamus.	8. Assist us with Thy grace, O Almighty God, that we who have taken upon us the priestly office, may be able to converse worthily and devoutly with Thee in all purity and good conscience. And if we are not able to have our conversation in such innocency of life as we ought, yet grant unto us worthily to lament the sins which we have committed, and in the spirit of humility and full purpose of a good will, to serve Thee more earnestly for the future.
Cap. 12. Quod magna diligentia se debeat communicaturus Christo præparare.	CHAPTER XII That he who is about to Communicate with Christ ought to prepare himself with great diligence
1. Ego sum puritatis amator, et dator omnis sanctitatis. Ego cor purum quæro, et ibi est locus requietionis meæ.  Para mihi cœnaculum grande stratum, et faciam apud te pascha cum discipulis meis. Si vis, veniam apud te, et apud te manebo; expurga vetus fermentum, et munda cordis tui habitaculum. Exclude totum sæculum et omnem vitiorum tumultum; sede tamquam passer solitarius in tecto, et cogita excessus tuos in amaritudine animæ tuæ. Omnis namque amans suo dilecto amatori optimum et pulcherrimum præparat locum, quia in hoc cognioscitur affectus suscipientis dilectum.	1. I am the Lover of purity, and Giver of sanctity. I seek a pure heart, and there is the place of My rest. Prepare for Me the larger upper room furnished, and I will keep the Passover at thy house with my disciples. If thou wilt that I come unto thee and abide with thee, purge out the old leaven, and cleanse the habitation of thy heart. Shut out the whole world, and all the throng of sins; sit as a sparrow alone upon the house-top, and think upon thy transgressions with bitterness of thy soul. For everyone that loveth prepareth the best and fairest place for his beloved, because hereby the affection of him that entertaineth his beloved is known.
2. Scito tamen te non posse satisfacere huic præparationi, ex merito tuæ actionis, etiamsi per integrum annum ita te præparares, ut nihil aliud in mente haberes. Sed ex sola pietate et gratia mea permitteris ad mensam meam accedere, ac si mendicus ad prandium vocetur divitis et ille nihil aliud habeat ad retribuendem beneficiis ejus, nisi se humiliando, et gratias sibi agendo. Fac ergo quod in te est, et diligenter facito, non ex consuetundine, non ex necessitate, sed cum timore et reverentia et affectu, accipe Corpus dilecti Domini Dei tui dignantis ad te venire. Ego sum qui vocavi, Ego jussi fieri, Ego supplebo quod tibi deest. Veni et suscipe me.	2. Yet know thou that thou canst not make sufficient preparation out of the merit of any action of thine, even though thou shouldest prepare thyself for a whole year, and hadst nothing else in thy mind. But out of My tenderness and grace alone art thou permitted to draw nigh unto My table; as though a beggar were called to a rich man’s dinner, and had no other recompense to offer him for the benefits done unto him, but to humble himself and to give him thanks. Do therefore as much as lieth in thee, and do it diligently, not of custom, nor of necessity, but with fear, reverence, and affection, receive the Body of thy beloved Lord God, who vouchsafeth to come unto thee. I am He who hath called thee; I commanded it to be done; I will supply what is lacking to thee; come and receive Me.
3. Cum gratiam devotionis tribuo, gratias age Deo tuo, non quia dignus es, sed qui tui misertus sum. Si non habes devotionem, sed magis te aridum sentis, insiste orationi, ingemisce, pulsa, nec desistas donec merearis micam, aut guttam gratiæ salutaris accipere. Tu mei indiges, non ego tui indigeo, nec tu me sanctificare venis, sed ego sanctificare venio et meliorare. Tu venis ut ex me sanctificeris et mihi uniaris, ut novam gratiam recipias a Deo et de novo ad emendationem accendaris. Noli negligere hanc gratiam, semper præpara cum omni diligentia cor tuum, et introduc ad te Dilectum tuum.	3. When I give the grace of devotion, give thanks unto thy God; it is not because thou art worthy, but because I had mercy on thee. If thou hast not devotion, but rather feelest thyself dry, be instant in prayer, cease not to groan and knock; cease not until thou prevail to obtain some crumb or drop of saving grace. Thou hast need of Me, I have no need of thee. Nor dost thou come to sanctify Me, but I come to sanctify thee and make thee better. Thou comest that thou mayest be sanctified by Me, and be united to Me; that thou mayest receive fresh grace, and be kindled anew to amendment of life. See that thou neglect not this grace, but prepare thy heart with all diligence, and receive thy Beloved unto thee.
4. Oportet autem ut non solum te præpares ad devotionem ante communionem, sed etiam ut te sollicite conserves in ea post Sacramenti perceptionem. Nec minor custodia post exigitur, quam devota præparatio prius. Nam bona postmodum custodia optima iterum est præparatio ad majorem gratiam consequendam. Ex eo quippe valde indispositus quis redditur, si statim fuerit nimis effusus ad exteriora solatia. Cave a multiloquio; mane in secreto et fruere Deo tuo. Ipsum enim habes quem totus mundus tibi auferre non potest. Ego sum, cui te totum dare debes, ita ut jam ultra non in te, sed in me absque omni sollicitudine vivas.	4. But thou oughtest not only to prepare thyself for devotion before Communion, thou must also keep thyself with all diligence therein after receiving the Sacrament; nor is less watchfulness needed afterwards, than devout preparation beforehand: for good watchfulness afterwards becometh in turn the best preparation for the gaining more grace. For hereby is a man made entirely indisposed to good, if he immediately return from Communion to give himself up to outward consolations. Beware of much speaking; remain in a secret place, and hold communion with thy God; for thou hast Him whom the whole world cannot take away from thee. I am He to whom thou oughtest wholly to give thyself; so that now thou mayest live not wholly in thyself, but in Me, free from all anxiety. 
Cap. 13. Quod toto corde anima devota Christi unionem in Sacramento affectare debet.	CHAPTER XIII That the devout soul ought with the whole heart to yearn after union with Christ in the Sacrament
1. Quis mihi det, Domine, ut inveniam te solum, ut aperiam tibi totum cor meum, ut fruar te sicut desiderat anima. Et jam nemo me despiciat, nec ulla creatura me moveat vel respiciat; sed tu solus mihi loquaris, et ego tibi, sicut solet dilectus ad dilectum, loqui et amicus cum amico convivari? Hoc oro, hoc desidero, ut tibi totus uniar, et cor meum ab omnibus creatis rebus abstraham; magisque per sacram Communionem, ac frequentem celebrationem cælestia et æterna sapere discam. At, Domine Deus, quando ero tecum totus unitus et absorptus, meique totaliter oblitus? Tu in me et ego in te et sic nos in unum pariter manere concede.	1. Who shall grant unto me, O Lord, that I may find Thee alone, and open all my heart unto Thee, and enjoy Thee as much as my soul desireth; and that no man may henceforth look upon me, nor any creature move me or have respect unto me, but Thou alone speak unto me and I unto Thee, even as beloved is wont to speak unto beloved, and friend to feast with friend? For this do I pray, this do I long for, that I may be wholly united unto Thee, and may withdraw my heart from all created things, and by means of Holy Communion and frequent celebration may learn more and more to relish heavenly and eternal things. Ah, Lord God, when shall I be entirely united and lost in Thee, and altogether forgetful of myself? Thou in me, and I in Thee; even so grant that we may in like manner continue together in one.
2. Vere, vere tu esdilectus meus, electus ex millibus, in quo complacuit animæ meæ habitare omnibus diebus vitæ suæ. Vere tu es pacificus meus, in quo pax summa et requies vera, extra quem labor et dolor et infinita miseria. Vere tu esDeus absconditus, et consilium tuum non est cum impiis, sed cum humilibus et simplicibus sermo tuus. O, quam suavis est, Domine, spiritus tuus, qui, ut dulcedinem tuam in filios demonstrares, pane suavissimo de cælo descendente illos reficere dignaris. Verenon est alia natio tam grandis, quæ habeat Deos appropinquante sibi, sicut tu, Deus noster, adesuniversis fidelibus tuis: quibus ob quotidianum solatium, et cor erigendum in cælum, te tribuis ad edendum et fruendum.	2. Verily Thou art my Beloved, the choicest among ten thousand, in whom my soul delighteth to dwell all the days of her life. Verily Thou art my Peacemaker, in Whom is perfect peace and true rest, apart from Whom is labour and sorrow and infinite misery. Verily Thou art a God that hidest Thyself, and Thy counsel is not with the wicked, but Thy Word is with the humble and the simple. O how sweet, O Lord, is Thy spirit, who that Thou mightest manifest Thy sweetness towards Thy children, dost vouchsafe to refresh them with the bread which is full of sweetness, which cometh down from heaven. Verily there is no other nation so great, which hath its gods drawing nigh to them, as Thou, our God, art present unto all Thy faithful ones, unto whom for their daily solace, and for lifting up their heart unto heaven, Thou givest Thyself for their food and delight.
3. Quæ est enim alia gens tam inclyta, sicut plebs Christiana? Aut quæ creatura sub cælo tam dilecta ut anima devota, ad quam ingreditur Deus, ut pascat eam carne sua gloriosa? O, ineffabilis gratia. O, admirabilis dignatio. O, amor immensus, homini singulariter impensus. Sed quid retribuam Domino pro gratia ista? pro charitate tam eximia? Non est aliud quod gratius donare queam, quam ut cor meum Deo meo totaliter tribuam, et intime conjungam. Tunc exultabant omnia interiora mea, cum perfecte fuerit unita Deo anima mea. Tunc dicet mihi: Si tu vis esse mecum, ego volo esse tecum. Et ego respondebo illi: Dignare, Domine manere mecum, ego volo libenter esse tecum. Hoc est totum desiderium meum, ut cor meum tibi sit unitum.	3. For what other nation is there so renowned as the Christian people? Or what creature is so beloved under heaven as the devout soul to which God entereth in, that he may feed it with His glorious flesh? O unspeakable grace! O wonderful condescension! O immeasurable love specially bestowed upon men! But what reward shall I give unto the Lord for this grace, for charity so mighty? There is nothing which I am able to present more acceptable than to give my heart altogether unto God, and to join it inwardly to Him. Then all my inward parts shall rejoice, when my soul shall be perfectly united unto God. Then shall He say unto me, “If thou wilt be with Me, I will be with thee.” And I will answer Him, “Vouchsafe, O Lord, to abide with me, I will gladly be with Thee; this is my whole desire, even that my heart be united unto Thee.”
Cap. 14. De quorumdam devotorum ardenti desiderio ad Corpus Christi.	CHAPTER XIV Of the fervent desire of certain devout persons to receive the Body and Blood of Christ
1.Quam magna multitudo dulcedinis tuæ, Domine,quam abscondisti timentibus te.Quando recordor devotorum aliquorum ad Sacramentum tuum, Domine, cum magna devotione, et affectu accendentium, tunc sæpius in memetipso confundor et erubesco, quod ad altare tuum et sacræ Communionis mensam tam tepide et frigide accedo, quod ita aridus sine devotione et affectione cordis maneo, et quod non sum totaliter accensus, coram te, Deo meo, nec ita vehementer attractus et affectionatus, sicut multi devoti fuerunt, qui præ nimio desiderio Communionis et sensibili cordis amore a fletu non potuerunt se continere. Sed ore cordis et corporis pariter ad te, fontem vivum, medullitus inhiabant, suam esuriem non valentes aliter temperare nec satiare, nisi Corpus tuum cum omni jucunditate et spirituali aviditate accepissent.	1. O how great is the abundance of Thy sweetness, O Lord, which Thou hast laid up for them that fear Thee. When I call to mind some devout persons who draw nigh to Thy Sacrament, O Lord, with the deepest devotion and affection, then very often I am confounded in myself and blush for shame, that I approach Thine altar and table of Holy Communion so carelessly and coldly, that I remain so dry and without affection, that I am not wholly kindled with love before Thee, my God, nor so vehemently drawn and affected as many devout persons have been, who out of the very earnest desire of the Communion, and tender affection of heart, could not refrain from weeping, but as it were with mouth of heart and body alike panted inwardly after Thee, O God, O Fountain of Life, having no power to appease or satiate their hunger, save by receiving Thy Body with all joyfulness and spiritual eagerness.
2. O, vere ardens fides eorum probabile existens argumentum sacræ præsentiæ tuæ. Isti enim veraciter cognoscunt Dominum suum in fractione panis, quorum cor tam valide ardet in eis de Jesu ambulante cum eis. Longe, proh dolor, est a me sæpe talis affectus, et devotio tam vehemens ardor. Esto mihi propitius, bone Jesu, et dulcis et benigne; concede pauperi mendico tuo vel interdum modicum de cordiali affectione amoris tui in sacra Communione sentire, ut fides mea magis convalescat, spes in bonitate tua proficiat, et charitas semel perfecte accensa et cæleste manna experta, nunquam deficiat.	2. O truly ardent faith of those, becoming a very proof of Thy Sacred Presence! For they verily know their Lord in the breaking of bread, whose heart so ardently burneth within them when Jesus walketh with them by the way. Ah me! far from me for the most part is such love and devotion as this, such vehement love and ardour. Be merciful unto me, O Jesus, good, sweet, and kind, and grant unto Thy poor suppliant to feel sometimes, in Holy Communion, though it be but a little, the cordial affection of Thy love, that my faith may grow stronger, my hope in Thy goodness increase, and my charity, once kindled within me by the tasting of the heavenly manna, may never fail.
3. Potens est autem misericordia tua etiam gratiam desideratam mihi præstare, et in spiritu ardoris, cum dies beneplaciti tui adveniret, me clementissime visitare. Etenim licet tanto desiderio tam specialium devotorum tuorum non ardeo, tamen de gratia tua illius magni inflamati desiderii desiderium habeo: orans et desiderans omnium talium fervidorum amatorum tuorum participem me fieri, ac eorum sancto consortio annumerari.	3. But Thy mercy is able even to grant me the grace which I long for, and to visit me most tenderly with the spirit of fervour when the day of Thy good pleasure shall come. For, although I burn not with desire so vehement as theirs who are specially devout towards Thee, yet, through Thy grace, I have a desire after that greatly inflamed desire, praying and desiring to be made partaker with all those who so fervently love Thee, and to be numbered among their holy company.
Cap. 15. Quod gratia devotionis humilitate, et sui ipsius abnegatine acquiritur.	CHAPTER XV That the grace of devotion is acquired by humility and self-denial
1. Oportet te devotionis gratiam instanter quærere, desideranter petere, patienter et fiducialiter exspectare, gratanter recipere, humiliter conservare, studiose cum ea operari, ac Deo tempus et modum supernæ visitationis, donec veniat, committere. Humiliare præcipue te debes, cum parum, aut nihil devotionis interius sentis, sed non nimium dejici, nec inordinate contristari. Dat sæpe Deus in uno brevi momento, quod longo negavit tempore. Dat quandoque in fine, quod in principio orationis distulit dare.	1. Thou oughtest to seek earnestly the grace of devotion, to ask it fervently, to wait for it patiently and faithfully, to receive it gratefully, to preserve it humbly, to work with it diligently, and to leave to God the time and manner of heavenly visitation until it come. Chiefly oughtest thou to humble thyself when thou feelest inwardly little or no devotion, yet not to be too much cast down, nor to grieve out of measure. God ofttimes giveth in one short moment what He hath long time denied; He sometimes giveth at the end what at the beginning of prayer He hath deferred to give.
2. Si semper cito gratia daretur, et pro voto adesset, non esset infirmo homini bene portabile. Propterea in bona spe et humili patientia exspectanda est devotionis gratia. Tibi tamen, et peccatis tuis imputa, cum non datur vel etiam occulte tolitur. Modicum quandoque est quod gratiam impedit et abscondit, si tamen modicum et non potius grande dici debeatur, quod tantum bonum prohibet. Sed si hoc ipsum modicum vel grande amoveris et perfecte viceris, erit quod petiisti.	2. If grace were always given immediately, and were at hand at the wish, it would be hardly bearable to weak man. Wherefore the grace of devotion is to be waited for with a good hope and with humble patience. Yet impute it to thyself and to thy sins when it is not given, or when it is mysteriously taken away. It is sometimes a small thing which hindereth and hideth grace; (if indeed that ought to be called small and not rather great , which hindereth so great a good); but if thou remove this, be it small or great, and perfectly overcome it, thou wilt have what thou hast asked.
3. Statim namque ut te Deo ex toto corde tradideris, nec hoc vel illud pro tuo libitu seu velle quæsieris, sed integre te in illo posueris, unitum te invenies et pacatum, quia nihil ita tibi sapiet et placebit, sicut beneplacitum divinæ voluntatis. Quisquis ergo intentionem suam simplici corde sursum ad Deum levaverit, seque ab omni inordinato amore, seu displicentia cujuslibet rei creatæ evacuaverit, aptissimus gratiæ percipiendæ, ac dignus devotionis munere erit: dat enim Dominus ibi benedictionem suam, ubi vasa vacua invenerit, et quanto perfectius infimis quis renunciaverit, et magis sibi ipsi per contemtum sui moritur, tanto gratia celerius enit, copiosius intrat, et altius cor liberum elevat.	3. For immediately that thou hast given thyself unto God with all thine heart, and hast sought neither this nor that according to thine own will and pleasure, but hast altogether settled thyself in Him, thou shalt find thyself united and at peace; because nothing shall give thee so sweet relish and delight, as the good pleasure of the Divine will. Whosoever therefore shall have lifted up his will unto God with singleness of heart, and shall have delivered himself from every inordinate love or dislike of any created thing, he will be the most fit for receiving grace, and worthy of the gift of devotion. For where the Lord findeth empty vessels, there giveth He His blessing. And the more perfectly a man forsaketh things which cannot profit, and the more he dieth to himself, the more quickly doth grace come, the more plentifully doth it enter in, and the higher doth it lift up the free heart.
4. Tunc videbit et affluet et mirabitur et dilatabitur cor ejus in ipso, quia manus Domini cum illo est, et ipse se posuit totaliter in manu ejus usque in sæculum. Ecce sic benedicetur homo, qui quærit Deum in toto corde suo, nec in vanum accipit animam suam. Hic in accipiendo sacram Eucharistiam magnam promeretur divinæ unionis gratiam, quia non respicit ad propriam devotionem et consolationem, sed ad Dei gloriam et honorem.	4. Then shall he see, and flow together, and wonder, and his heart shall be enlarged within him, because the hand of the Lord is with him, and he hath put himself wholly in His hand, even for ever. Lo, thus shall the man be blessed, that seeketh God with all his heart, and receiveth not his soul in vain. This man in receiving the Holy Eucharist obtaineth the great grace of Divine Union; because he hath not regard to his own devotion and comfort, but, above all devotion and comfort, to the glory and honour of God.
Cap. 16. Quod necessitates nostras Christo aperire debemus et ejus gratiam postulare.	CHAPTER XVI That we ought to lay open our necessities to Christ and to require His Grace
1. Dulcissime atque amantissime Domine, quem nunc devote desidero suscipere, tu scis infirmitatem meam et necessitatem quam patior, in quantis malis et vitiis jaceo; quam sæpe sum gravatus, tentatus, turbatus et inquinatus. Pro remedio ad te venio, pro consolatione et sublevamine te deprecor: ad omnia scientem loquor, cui manifesta sunt omnia interiora mea, et qui solus potes me perfecte consolare et adjuvare. Tu scis quibus bonis indigeo præ omnibus et quam pauper sum in virtutibus.	1. O most sweet and loving Lord, whom now I devoutly desire to receive, Thou knowest my infirmity and the necessity which I suffer, in what evils and vices I lie; how often I am weighed down, tempted, disturbed, and defiled. I come unto Thee for remedy, I beseech of Thee consolation and support. I speak unto Thee who knowest all things, to whom all my secrets are open, and who alone art able perfectly to comfort and help me. Thou knowest what good thing I most stand in need of, and how poor I am in virtues.
2. Ecce sto ante te pauper et nudus, gratiam postulans et misericordiam implorans: refice esurientem mendicum tuum, accende frigiditatem meam igne amoris tui, illumina cæcitatem meam claritate præsentiæ tuæ. Verte mihi omnia terrena in amaritudinem, omnia gravia et contraria in patientiam, omnia infima et creata in contemtum et oblivionem. Erige cor meum ad te in cælum, et ne dimittas me vagari super terram. Tu solus mihi ex hoc jam dulcescas usque in sæculum, quia tu solus cibus et potus meus, amor meus et gaudium meum, dulcedo mea et totum bonum meum.	2. Behold, I stand poor and naked before Thee, requiring grace, and imploring mercy. Refresh the hungry suppliant, kindle my coldness with the fire of Thy love, illuminate my blindness with the brightness of Thy presence. Turn thou all earthly things into bitterness for me, all grievous and contrary things into patience, all things worthless and created into contempt and oblivion. Lift up my heart unto Thee in Heaven, and suffer me not to wander over the earth. Be Thou alone sweet unto me from this day forward for ever, because Thou alone art my meat and drink, my love and joy, my sweetness and my whole good.
3. Utinam me totaliter ex tua præsentia accends, comburas, et in te transmutes: ut unus tecum efficiar spiritus per gratiam internæ unionis, et liquefactionem ardentis amoris. Ne patiaris me jejunum et aridum a te recedere, sed operare mecum misericorditer, sicut sæpius expertus es cum Sanctis tuis mirabiliter. Quid mirum si totus ex te cognoscerem, et in me ipso deficerem, cum tu sis ignis semper ardens et nunquam deficiens, amor corda purificans et intellectum illuminans.	3. Oh that Thou wouldest altogether by Thy presence, kindle, consume, and transform me into Thyself; that I may be made one spirit with Thee, by the grace of inward union, and the melting of earnest love! Suffer me not to go away from Thee hungry and dry; but deal mercifully with me, as oftentimes Thou hast dealt wondrously with Thy saints. What marvel if I should be wholly kindled from Thee, and in myself should utterly fail, since Thou art fire always burning and never failing, love purifying the heart and enlightening the understanding.
Cap. 17. De ardenti amore, et desiderio vehementi suscipiendi Christum.	CHAPTER XVII Of fervent love and vehement desire of receiving Christ
1. Cum summa devotione et ardenti amore cum toto cordis affectu et fervore desidero te, Domine; quemadmodum multi Sancti et devotæ personæ in communicando et desideraverunt, qui tibi maxime in sanctitate vitæ placuerunt, et in ardentissima devotione fuerunt. O Deus meus, amor æternus, totum bonum meum, felicitas interminabilis: cupio te suscipere cum vehementissimo desiderio et dignissima reverentia, quam aliquis Sanctorum unquam habuit et sentire potuit.	1. With the deepest devotion and fervent love, with all affection and fervour of heart, I long to receive Thee, O Lord, even as many Saints and devout persons have desired Thee in communicating, who were altogether well pleasing to Thee by their sanctity of life, and dwelt in all ardent devotion. O my God, Eternal Love, my whole Good, Happiness without measure, I long to receive Thee with the most vehement desire and becoming reverence which any Saint ever had or could have.
